,,,,,,,,,,,"TP, µg/l",,,"SRP, µg/l",,,"TN, mg/l",,"CLA, µg/l",,"Secchi, m","Chloride, mg/l","TSS, mg/l",,"VSS, mg/l",,

Site,Site_ID,Date,Time,Depth,Sonde Depth,"Temp, oC","DO, mg/l","DO, Sat %","SpCond, µS/cm",pH,TP Value,"TP, mg/l",TP RL,SRP Value ug/l,"SRP, mg/l",SRP RL,TN Value mg/l,TN RL,CLA Value ug/l,CLA RL,"Secchi Value, m","Chloride value, mg/l","TSS Value, mg/l",TSS RL,"VSS Value, mg/l",VSS RL,Comments


Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,7/10/2012,10:00,5,5.073,20.68,0.54,6,498,7.25,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,7/10/2012,10:00,6,6.069,19,0.48,5.1,515,7.19,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,7/10/2012,10:00,7,7.037,16.98,0.46,4.8,539,7.07,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,7/10/2012,10:00,8,8.064,15.09,0.46,4.6,563,6.9,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,7/10/2012,10:00,9,9.06,13.2,0.46,4.4,586,6.77,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,7/10/2012,10:00,10,10.062,12.42,0.46,4.3,602,6.64,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,7/10/2012,10:00,11,11.032,12.05,0.45,4.2,611,6.63,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,7/10/2012,10:00,12,12.055,11.69,0.45,4.2,631,6.42,854.9,0.8549,,626.06,0.62606,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,7/10/2012,10:00,12.43399906,12.434,11.62,0.51,4.7,657,6.28,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,7/24/2012,10:00,0,0.372,27.66,8.2,104.3,428,8.49,69.4,0.0694,,13.98,0.01398,,1.9,,70.4,,0.7,49,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,7/24/2012,10:00,1,1.08,27.65,8.1,102.9,428,8.52,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,7/24/2012,10:00,3,3.034,27.56,7.17,91,431,8.35,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,7/24/2012,10:00,4,4.027,26.45,0.66,8.2,452,7.62,69.5,0.0695,,19.74,0.01974,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,7/24/2012,10:00,5,5.061,23.34,0.39,4.6,482,7.42,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,7/24/2012,10:00,6,6.047,19.25,0.76,8.2,502,7.15,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,7/24/2012,10:00,7,7.102,17.06,0.18,1.8,524,7.08,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,7/24/2012,10:00,8,8.064,14.59,0.05,0.5,559,6.88,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,7/24/2012,10:00,9,9.086,13.47,0.16,1.6,574,6.82,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,7/24/2012,10:00,10,10.012,12.86,0.16,1.5,588,6.76,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,7/24/2012,10:00,11,11.064,12.31,0.13,1.3,600,6.72,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,7/24/2012,10:00,12,12.072,11.96,0.14,1.3,616,6.64,949.8,0.9498,,783.82,0.78382,,,,,,,60,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,7/24/2012,10:00,12.49699974,12.497,11.79,0.23,2.1,631,6.51,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/7/2012,10:00,0,0.333,27.95,14.81,189.2,413,8.86,76.7,0.0767,,19.95,0.01995,,1.89,,93.2,,0.4,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/7/2012,10:00,1,1,26.66,15.61,171.6,415,8.66,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/7/2012,10:00,2,2,26.21,10.18,128,420,8.41,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/7/2012,10:00,3,3,25.92,7.18,88.6,423,8.12,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/7/2012,10:00,4,4,25.55,3.59,44.1,427,7.77,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/7/2012,10:00,5,5,24.73,0.47,5.1,443,7.48,91.3,0.0913,,21.29,0.02129,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/7/2012,10:00,6,6,19.93,0.15,1.8,511,7.07,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/7/2012,10:00,7,7,16.71,0.07,0.6,534,7.09,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/7/2012,10:00,8,8,14.98,0,0,561,6.93,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/7/2012,10:00,9,9,13.54,0,0,587,6.79,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/7/2012,10:00,10,10,12.8,0,0,605,6.75,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/7/2012,10:00,11,11,12.52,0.06,0.6,613,6.7,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/7/2012,10:00,12,12,12,0.9,0.1,693,6.33,683,0.683,,315.7,0.3157,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/7/2012,10:00,12.149,12.149,12,0.12,1.1,,6.32,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/21/2012,10:00,0,0.27,23.27,9.8,115,439,8.42,49.7,0.0497,,14.22,0.01422,,2.14,,72.5,,0.55,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/21/2012,10:00,1,1.062,22.59,9.48,109.8,440,8.45,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/21/2012,10:00,2,2.03,22.22,7.27,83.6,443,8.19,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/21/2012,10:00,3,3.056,22.15,5.03,57.8,445,7.99,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/21/2012,10:00,4,4.067,22.02,3.7,42.4,438,7.89,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/21/2012,10:00,5,5.034,21.9,2.73,31.2,451,7.82,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/21/2012,10:00,6,6.053,21.4,0.8,9.1,465,7.71,73.7,0.0737,,7.71,0.00771,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/21/2012,10:00,7,7.053,17.17,0.32,3.4,555,7.45,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/21/2012,10:00,8,8.021,15.52,0.28,2.8,575,7.37,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/21/2012,10:00,9,9.04,13.36,0.18,1.7,608,7.15,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/21/2012,10:00,10,10.023,12.47,0.17,1.6,634,6.97,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/21/2012,10:00,11,11.073,11.93,0.13,1.2,654,6.86,1117.9,1.1179,,857.27,0.85727,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,8/21/2012,10:00,11.94699955,11.947,11.62,0.09,0.8,688,6.78,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,9/5/2012,10:00,0,0.322,25.98,10.1,124.6,450,8.48,81.5,0.0815,,10.02,0.01002,,2.23,,71.1,,0.85,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,9/5/2012,10:00,1,1.044,24.89,9.8,118.4,451,8.36,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,9/5/2012,10:00,2,2.087,24.66,8.25,99.3,453,8.19,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,9/5/2012,10:00,3,3.06,24.48,6.33,76,456,7.97,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,9/5/2012,10:00,4,4.06,24.15,3.07,36.6,459,7.66,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,9/5/2012,10:00,5,5.034,22.91,0.88,10.2,467,7.5,74.7,0.0747,,23.38,0.02338,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,9/5/2012,10:00,6,6.053,20.83,0.41,4.6,500,7.32,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,9/5/2012,10:00,7,7.059,18.39,0.26,2.7,555,7.06,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,9/5/2012,10:00,8,8.039,15.5,0.14,1.4,603,6.88,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,9/5/2012,10:00,9,9.075,13.55,0.13,1.3,634,6.72,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,9/5/2012,10:00,10,10.041,12.93,0.14,1.4,655,6.66,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,9/5/2012,10:00,11,11.05,12.34,0.14,1.3,684,6.55,1401.1,1.4011,,1241.32,1.24132,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,9/5/2012,10:00,11.8239994,11.824,12.16,0.21,1.9,708,6.42,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,9/18/2012,10:00,0,0.206,19.2,7.39,80.1,463,7.85,100.1,0.1001,,12.71,0.01271,,2.38,,61.8,,0.7,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,9/18/2012,10:00,1,1.019,18.88,7.2,77.6,463,7.87,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,9/18/2012,10:00,2,2.031,18.89,7.11,76.5,462,7.86,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,9/18/2012,10:00,3,3.078,18.79,7,75.2,463,7.85,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,9/18/2012,10:00,4,4.048,18.71,6.82,73.1,462,7.82,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,9/18/2012,10:00,5,5.052,18.66,6.54,70.1,462,7.8,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,9/18/2012,10:00,6,6.062,18.66,6.31,67.7,462,7.77,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,9/18/2012,10:00,7,7.096,18.41,2.88,30.7,482,7.4,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,9/18/2012,10:00,8,8.096,16.89,0.73,7.5,593,6.98,259.6,0.2596,,177.55,0.17755,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,9/18/2012,10:00,9,9.057,13.38,0.39,3.7,636,6.74,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,9/18/2012,10:00,10,10.032,12.32,0.3,2.8,670,6.6,1350.3,1.3503,,1115.31,1.11531,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,9/18/2012,10:00,10.86699963,10.867,11.99,0.3,2.8,719,6.5,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,10/23/2012,10:00,0,0.423,11.62,0.17,1.6,485,7.57,168.4,0.1684,,159.35,0.15935,,2.59,,3.3,5,2.35,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,10/23/2012,10:00,1,1.084,11.6,0.27,2.5,485,7.54,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,10/23/2012,10:00,2,2.051,11.55,0.34,3.2,485,7.51,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,10/23/2012,10:00,3,3.051,11.52,0.45,4.1,484,7.49,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,10/23/2012,10:00,4,4.042,11.51,0.56,5.1,485,7.49,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,10/23/2012,10:00,5,5.028,11.52,0.67,6.1,485,7.47,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,10/23/2012,10:00,6,6.07,11.51,0.69,6.3,484,7.46,168.9,0.1689,,163.93,0.16393,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,10/23/2012,10:00,7,7.03,11.51,0.8,7.3,485,7.46,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,10/23/2012,10:00,8,8.071,11.5,1.01,9.3,485,7.46,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,10/23/2012,10:00,9,9.034,11.5,1.06,9.7,485,7.46,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,10/23/2012,10:00,10,10.043,11.49,1.12,10.3,485,7.46,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,10/23/2012,10:00,11,11.055,11.43,1.19,10.9,485,7.45,177.9,0.1779,,174.8,0.1748,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Prior Lake - Upper                                                                                                                                                                                                                                                            ,UP_3R,10/23/2012,10:00,11.5539999,11.554,11.36,0.51,4.7,483,7.34,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,4/17/2012,10:00,0,0.512,11.92,12.16,112.7,497,8.65,68.2,0.0682,,14.1,0.0141,,1.27,,20.7,,2.91,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,4/17/2012,10:00,1,1.002,11.87,12.43,115.1,498,8.54,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,4/17/2012,10:00,2,2.005,11.84,12.34,114.2,498,8.54,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,4/17/2012,10:00,3,3.017,11.78,12.3,113.7,498,8.53,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,4/17/2012,10:00,4,4.017,11.62,12.26,112.9,498,8.53,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,4/17/2012,10:00,5,4.986,11.4,12.2,111.9,499,8.51,68.4,0.0684,,34.35,0.03435,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,4/17/2012,10:00,6,6.01,11.26,11.79,107.7,499,8.49,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,4/17/2012,10:00,7,7.023,11.19,11.63,106.1,499,8.46,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,4/17/2012,10:00,8,7.959,11.08,11.49,104.5,500,8.44,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,4/17/2012,10:00,9,9.001,10.9,11.08,100.4,505,8.36,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,4/17/2012,10:00,10,10.007,10.49,10.37,93.1,506,8.32,79.1,0.0791,,19.23,0.01923,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,4/17/2012,10:00,10.41499996,10.415,10.41,6.71,60.1,521,7.85,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/2/2012,10:00,0,0.336,14.91,12.1,119.9,494,8.69,63.2,0.0632,,8.42,0.00842,,1.33,,14.5,,3.66,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/2/2012,10:00,1,1.091,13.78,12.24,118.3,494,8.74,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/2/2012,10:00,2,2.032,13.35,12.21,116.9,493,8.74,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/2/2012,10:00,3,3.043,13.18,11.99,114.4,493,8.73,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/2/2012,10:00,4,4.033,13.07,11.76,111.9,493,8.71,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/2/2012,10:00,5,5.027,12.91,11.43,108.4,493,8.69,54.5,0.0545,,10.95,0.01095,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/2/2012,10:00,6,6.063,12.56,10.82,101.9,494,8.64,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/2/2012,10:00,7,7.044,11.86,9.93,92,499,8.59,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/2/2012,10:00,8,8.053,11.69,9.47,87.4,500,8.56,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/2/2012,10:00,9,9.058,11.31,8.17,74.7,503,8.45,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/2/2012,10:00,10,10.026,11.22,7.39,67.5,505,8.39,95.5,0.0955,,14.54,0.01454,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/2/2012,10:00,10.97999954,10.98,10.89,3.33,30.2,517,7.54,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Spring                                                                                                                                                                                                                                                            ,SP_3R,5/15/2012,10:00,0,0.261,19.25,15.36,166.6,453,9.08,67.3,0.0673,,3.3,0.0033,6,1.63,,43.2,,1.57,,,,,,The time value was made up to allow recording in the WQDB.
