,,,,,,,,,,,"TP, µg/l",,,"SRP, µg/l",,,"TN, mg/l",,"CLA, µg/l",,"Secchi, m","Chloride, mg/l","TSS, mg/l",,"VSS, mg/l",,

Site,Site_ID,Date,Time,Depth,Sonde Depth,"Temp, oC","DO, mg/l","DO, Sat %","SpCond, µS/cm",pH,TP Value,"TP, mg/l",TP RL,SRP Value ug/l,"SRP, mg/l",SRP RL,TN Value mg/l,TN RL,CLA Value ug/l,CLA RL,"Secchi Value, m","Chloride value, mg/l","TSS Value, mg/l",TSS RL,"VSS Value, mg/l",VSS RL,Comments

Fish-Prior & Spring Lake WD,FL_3R,6/26/2012,10:00,4,4.048,21.23,0.92,10.3,405,7.41,49.7,0.0497,,6.54,0.00654,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,6/26/2012,10:00,5,5.05,18.53,0.61,6.6,434,7.39,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,6/26/2012,10:00,6,6.066,15.27,0.52,5.2,472,7.3,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,6/26/2012,10:00,7,7.056,13.48,0.48,4.6,489,7.06,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,6/26/2012,10:00,8,8.02,12.63,0.45,4.3,499,6.88,385.9,0.3859,,214.55,0.21455,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,6/26/2012,10:00,9.016999245,9.017,12.23,0.42,3.9,514,6.53,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,7/10/2012,10:00,0,0.52,29.2,9.82,128.2,386,8.87,35.8,0.0358,,7.9,0.0079,,1.11,,13.5,,1.36,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,7/10/2012,10:00,1,1.019,28.63,9.25,119.6,385,8.72,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,7/10/2012,10:00,2,2.015,28.4,9.17,118.1,385,8.6,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,7/10/2012,10:00,3,3.058,26.39,7.76,96.5,396,8.31,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,7/10/2012,10:00,4,4.034,21.75,0.96,10.9,419,7.12,53.5,0.0535,,7.36,0.00736,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,7/10/2012,10:00,5,5.034,18.17,0.61,6.4,450,7.3,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,7/10/2012,10:00,6,6.071,15.19,0.55,5.5,483,6.72,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,7/10/2012,10:00,7,7.082,13.38,0.54,5.2,503,6.95,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,7/10/2012,10:00,8,8.05,12.42,0.52,4.9,524,6.75,502.6,0.5026,,282.75,0.28275,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,7/10/2012,10:00,8.867999077,8.868,12.14,0.5,4.6,538,6.5,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,7/24/2012,10:00,0,0.351,27.44,8.93,113,356,8.96,37.3,0.0373,,12.27,0.01227,,1.35,,39,,0.75,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,7/24/2012,10:00,1,1.075,27.43,9.11,115.2,356,9.03,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,7/24/2012,10:00,2,2.062,27.44,9.15,115.9,357,9.03,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,7/24/2012,10:00,3,3.004,27.39,8.77,110.9,358,8.98,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

